time,open,high,low,close,ema12,ema26
2026.08.24 07:00,4641.50,4642.53,4632.21,4638.77,4622.6116163146,4595.2457894459
2026.08.24 08:00,4638.82,4646.45,4629.56,4640.80,4625.4098291893,4598.6201754128
2026.08.24 09:00,4640.69,4659.80,4639.29,4649.99,4629.1913939294,4602.4253476045
2026.08.24 10:00,4650.03,4654.60,4629.95,4641.56,4631.0942564018,4605.3242107449
2026.08.24 11:00,4641.66,4646.15,4628.60,4637.84,4632.1320631092,4607.7327877267
2026.08.24 12:00,4637.87,4645.94,4632.79,4645.82,4634.2378995540,4610.5540627099
2026.08.24 13:00,4645.89,4650.06,4641.67,4643.32,4635.6351457764,4612.9811691759
2026.08.24 14:00,4643.18,4670.35,4639.03,4657.84,4639.0512771954,4616.3040455332
2026.08.24 15:00,4657.82,4668.73,4645.25,4662.75,4642.6972345500,4619.7444866048
2026.08.24 16:00,4662.69,4680.90,4655.97,4664.56,4646.0607369269,4623.0641542637
2026.08.24 17:00,4664.68,4678.66,4654.97,4670.30,4649.7898543228,4626.5631057998
2026.08.24 18:00,4670.32,4679.44,4639.81,4648.98,4649.6652613500,4628.2236164813
2026.08.24 19:00,4648.98,4662.22,4641.91,4644.84,4648.9229134500,4629.4544597049
2026.08.24 20:00,4644.87,4655.28,4630.00,4636.55,4647.0193883039,4629.9800552823
2026.08.24 21:00,4636.55,4642.22,4624.87,4636.56,4645.4102516417,4630.4674585947
2026.08.24 22:00,4636.52,4655.90,4635.88,4651.47,4646.3425206199,4632.0232024025
2026.08.25 01:00,4648.89,4668.29,4601.08,4667.51,4649.5990559092,4634.6518540764
2026.08.25 02:00,4667.72,4682.80,4666.79,4679.72,4654.2330473078,4637.9902352559
2026.08.25 03:00,4679.83,4696.73,4675.24,4684.30,4658.8587323373,4641.4205881999
2026.08.25 04:00,4684.09,4686.82,4656.43,4657.89,4658.7096965931,4642.6405446296
2026.08.25 05:00,4657.73,4661.40,4616.28,4629.45,4654.2082048096,4641.6634672496
2026.08.25 06:00,4629.44,4641.28,4622.10,4633.58,4651.0346348389,4641.0646918978
2026.08.25 07:00,4633.61,4637.74,4623.61,4625.86,4647.1616140944,4639.9384184239
2026.08.25 08:00,4625.86,4647.81,4624.00,4642.90,4646.5059811568,4640.1577948369
2026.08.25 09:00,4642.92,4653.44,4636.90,4638.27,4645.2389071327,4640.0179581823
2026.08.25 10:00,4638.28,4643.69,4629.62,4630.11,4642.9113829584,4639.2840353540
2026.08.25 11:00,4630.13,4645.25,4620.02,4630.28,4640.9680932725,4638.6170697722
2026.08.25 12:00,4630.22,4642.49,4623.98,4636.23,4640.2391558460,4638.4402497891
2026.08.25 13:00,4636.23,4642.33,4632.78,4639.08,4640.0608241774,4638.4876386936
2026.08.25 14:00,4639.16,4647.33,4636.25,4642.36,4640.4145435347,4638.7744802719
2026.08.25 15:00,4642.41,4644.19,4630.09,4640.71,4640.4599983755,4638.9178521036
2026.08.25 16:00,4640.61,4641.18,4605.18,4616.30,4636.7430755485,4637.2424556515
2026.08.25 17:00,4615.89,4640.02,4613.05,4635.50,4636.5518331564,4637.1133848625
2026.08.25 18:00,4635.51,4659.30,4629.28,4652.66,4639.0300126708,4638.2649859838
2026.08.25 19:00,4652.67,4653.33,4636.99,4643.46,4639.7115491830,4638.6498018368
2026.08.25 20:00,4643.45,4648.37,4634.14,4648.34,4641.0390031549,4639.3675942933
2026.08.25 21:00,4648.33,4655.00,4644.17,4654.51,4643.1114642080,4640.4892539753
2026.08.25 22:00,4654.51,4668.07,4653.23,4666.92,4646.7743158683,4642.4470870142
2026.08.26 01:00,4652.17,4673.54,4626.74,4672.49,4650.7305749655,4644.6724879761
2026.08.26 02:00,4672.49,4673.31,4653.11,4654.76,4651.3504865092,4645.4197110890
2026.08.26 03:00,4654.76,4657.74,4634.26,4637.37,4649.1996424309,4644.8234361935
2026.08.26 04:00,4637.42,4660.75,4629.39,4656.91,4650.3858512877,4645.7187372162
2026.08.26 05:00,4656.94,4670.64,4654.76,4658.29,4651.6018741665,4646.6499418669
2026.08.26 06:00,4658.28,4658.62,4642.46,4642.58,4650.2138935255,4646.3484646915
2026.08.26 07:00,4642.58,4644.33,4638.69,4640.49,4648.7179099062,4645.9145043440
2026.08.26 08:00,4640.55,4649.41,4635.28,4639.58,4647.3120776129,4645.4452818000
2026.08.26 09:00,4639.54,4641.28,4624.56,4634.15,4645.2871425956,4644.6085942593
2026.08.26 10:00,4634.05,4639.28,4626.29,4628.85,4642.7583514270,4643.4412909808
2026.08.26 11:00,4628.68,4630.63,4622.15,4628.19,4640.5170665921,4642.3115657230
2026.08.26 12:00,4628.19,4630.80,4616.13,4623.23,4637.8575178856,4640.8981164102
2026.08.26 13:00,4623.07,4624.10,4613.02,4620.01,4635.1117459032,4639.3508485279
2026.08.26 14:00,4620.01,4625.26,4616.43,4624.57,4633.4899388412,4638.2559708592
2026.08.26 15:00,4624.57,4632.55,4610.70,4614.30,4630.5376405579,4636.4814544992
2026.08.26 16:00,4614.47,4631.85,4597.82,4631.49,4630.6841573952,4636.1117171289
2026.08.26 17:00,4631.66,4633.41,4602.77,4602.90,4626.4096716421,4633.6515899342
2026.08.26 18:00,4602.94,4609.21,4582.95,4596.03,4621.7358760048,4630.8648054946
2026.08.26 19:00,4596.03,4601.46,4585.52,4591.57,4617.0949720041,4627.9540791617
2026.08.26 20:00,4591.59,4602.21,4590.58,4597.76,4614.1203609265,4625.7174807053
2026.08.26 21:00,4597.78,4604.58,4592.37,4593.78,4610.9910746301,4623.3517413938
2026.08.26 22:00,4593.77,4601.52,4591.02,4594.31,4608.4247554563,4621.2005012905
2026.08.27 01:00,4593.63,4613.03,4593.60,4609.12,4608.5317161553,4620.3056493431
2026.08.27 02:00,4609.26,4624.79,4606.43,4623.30,4610.8037598237,4620.5274530954
2026.08.27 03:00,4623.30,4626.98,4600.31,4604.95,4609.9031813893,4619.3735676810
2026.08.27 04:00,4605.01,4640.83,4602.17,4640.00,4614.5334611756,4620.9014515565
2026.08.27 05:00,4640.01,4642.96,4623.39,4629.62,4616.8544671486,4621.5472699597
2026.08.27 06:00,4629.62,4638.57,4624.23,4625.44,4618.1753183565,4621.8356203330
2026.08.27 07:00,4625.44,4627.23,4617.13,4618.75,4618.2637309170,4621.6070558639
2026.08.27 08:00,4618.75,4621.51,4600.67,4606.96,4616.5246953913,4620.5220887629
2026.08.27 09:00,4606.96,4611.78,4597.80,4600.21,4614.0147422542,4619.0174895953
2026.08.27 10:00,4600.21,4605.80,4593.42,4600.14,4611.8801665228,4617.6191570327
2026.08.27 11:00,4600.11,4606.82,4594.47,4598.96,4609.8924485962,4616.2369972525
2026.08.27 12:00,4598.95,4600.68,4577.79,4580.26,4605.3336103506,4613.5720344930
2026.08.27 13:00,4580.37,4590.45,4568.93,4590.05,4602.9822856813,4611.8296615676
2026.08.27 14:00,4590.02,4600.34,4587.20,4598.20,4602.2465494226,4610.8200570070
2026.08.27 15:00,4598.27,4601.12,4580.32,4585.73,4599.7055418192,4608.9615342658
2026.08.27 16:00,4585.82,4593.28,4565.03,4572.27,4595.4846892316,4606.2436428387
2026.08.27 17:00,4572.37,4598.16,4568.30,4591.18,4594.8224293498,4605.1278174432
2026.08.27 18:00,4591.17,4611.29,4588.69,4610.44,4597.2251325268,4605.5213124474
2026.08.27 19:00,4610.45,4616.66,4602.37,4614.89,4599.9428044457,4606.2152893032
2026.08.27 20:00,4615.40,4616.52,4605.07,4606.43,4600.9408345310,4606.2311937992
